ntasks,global_data_size,parallel_time,serial_time,run_serial
72,72000000,1.151529,16.765621,1
74,74000000,1.184459,17.006492,1
74,74000000,1.171958,17.267818,1
74,74000000,1.177847,16.914798,1
74,74000000,1.229952,17.025257,1
74,74000000,1.174963,16.874084,1
74,74000000,1.177684,16.882803,1
74,74000000,1.190470,16.841411,1
74,74000000,1.181805,17.051314,1
74,74000000,1.179249,16.998967,1
74,74000000,1.229857,16.972939,1
76,76000000,1.212646,17.715378,1
76,76000000,1.259666,17.511394,1
76,76000000,1.242720,17.606898,1
76,76000000,1.202645,17.515965,1
76,76000000,1.246174,17.653071,1
76,76000000,1.248905,17.556980,1
76,76000000,1.210784,17.807482,1
76,76000000,1.215531,17.720067,1
76,76000000,1.225921,17.773864,1
76,76000000,1.206070,17.663527,1
78,78000000,1.236167,17.858744,1
78,78000000,1.246352,18.085318,1
78,78000000,1.246925,17.864047,1
78,78000000,1.276676,17.854876,1
78,78000000,1.233200,17.793079,1
78,78000000,1.222447,17.978020,1
78,78000000,1.240262,17.864009,1
78,78000000,1.228262,18.004522,1
78,78000000,1.262338,18.029711,1
78,78000000,1.211123,18.321817,1
80,80000000,1.292430,18.612292,1
80,80000000,1.289801,18.579271,1
80,80000000,1.289501,18.682098,1
80,80000000,1.296514,18.622891,1
80,80000000,1.287454,18.593362,1
80,80000000,1.294823,18.643676,1
80,80000000,1.286858,18.569207,1
80,80000000,1.280807,18.631308,1
80,80000000,1.286614,18.880594,1
80,80000000,1.301822,18.594767,1
82,82000000,1.330930,18.744693,1
82,82000000,1.316323,18.563538,1
82,82000000,1.313228,18.716980,1
82,82000000,1.312074,18.573018,1
82,82000000,1.311489,18.590787,1
82,82000000,1.314135,18.801437,1
82,82000000,1.309265,18.974159,1
82,82000000,1.323220,18.869954,1
82,82000000,1.272344,18.671345,1
82,82000000,1.316035,18.673561,1
84,84000000,1.356375,19.397062,1
84,84000000,1.340163,19.448683,1
84,84000000,1.296086,19.326970,1
84,84000000,1.335672,19.331717,1
84,84000000,1.341991,19.251509,1
84,84000000,1.349774,19.468123,1
84,84000000,1.341154,19.409390,1
84,84000000,1.295503,19.304257,1
84,84000000,1.347287,19.200632,1
84,84000000,1.304833,19.276717,1
86,86000000,1.365400,19.989049,1
86,86000000,1.349680,19.781175,1
86,86000000,1.357480,20.245403,1
86,86000000,1.359932,19.710944,1
86,86000000,1.374111,19.974165,1
86,86000000,1.369845,19.869597,1
86,86000000,1.368486,20.142827,1
86,86000000,1.367219,19.645601,1
86,86000000,1.358780,19.720835,1
86,86000000,1.361882,19.891069,1
88,88000000,1.355934,20.703947,1
88,88000000,1.337198,20.548533,1
88,88000000,1.391975,20.603876,1
88,88000000,1.390622,20.915839,1
88,88000000,1.390946,20.819548,1
88,88000000,1.394133,20.852555,1
88,88000000,1.386213,20.641198,1
88,88000000,1.385416,20.776850,1
88,88000000,1.395146,20.969255,1
88,88000000,1.381683,20.706098,1
90,90000000,1.426280,21.119351,1
90,90000000,1.423522,20.804929,1
90,90000000,1.427065,20.724743,1
90,90000000,1.434120,20.952302,1
90,90000000,1.374753,20.737282,1
90,90000000,1.427641,21.312944,1
90,90000000,1.374540,20.853674,1
90,90000000,1.421383,21.019909,1
90,90000000,1.382314,20.741519,1
90,90000000,1.419815,20.855787,1
92,92000000,1.404889,21.473125,1
92,92000000,1.393535,21.540281,1
92,92000000,1.395582,21.378613,1
92,92000000,1.383117,21.449994,1
92,92000000,1.395050,21.772432,1
92,92000000,1.395545,21.743854,1
92,92000000,1.402912,21.748797,1
92,92000000,1.407812,21.481850,1
92,92000000,1.393166,21.633632,1
92,92000000,1.398568,21.240318,1
94,94000000,1.426924,22.344849,1
94,94000000,1.437103,22.179463,1
94,94000000,1.422473,22.225252,1
94,94000000,1.425370,22.324074,1
94,94000000,1.410460,22.174516,1
94,94000000,1.433972,22.138180,1
94,94000000,1.418858,22.419463,1
94,94000000,1.436522,22.448052,1
94,94000000,1.434424,22.400688,1
94,94000000,1.446431,22.397831,1
96,96000000,1.439071,22.817376,1
96,96000000,1.447621,23.291190,1
96,96000000,1.439209,22.639570,1
96,96000000,1.446360,22.841546,1
96,96000000,1.442043,23.256776,1
96,96000000,1.446408,22.585961,1
96,96000000,1.465686,22.853595,1
96,96000000,1.442403,22.606426,1
96,96000000,1.450031,22.790933,1
96,96000000,1.453307,22.932468,1
98,98000000,1.490408,23.065106,1
98,98000000,1.476707,22.603292,1
98,98000000,1.479855,22.646829,1
98,98000000,1.489536,22.660242,1
98,98000000,1.484697,22.661877,1
98,98000000,1.473482,22.782891,1
98,98000000,1.478244,22.651976,1
98,98000000,1.476712,22.558255,1
98,98000000,1.478549,22.707233,1
98,98000000,1.477835,22.816812,1
100,100000000,1.513991,23.529331,1
100,100000000,1.507548,23.498992,1
100,100000000,1.514074,23.483974,1
100,100000000,1.506973,23.302639,1
100,100000000,1.503936,23.409580,1
100,100000000,1.499086,23.371581,1
100,100000000,1.503437,23.785506,1
100,100000000,1.503312,23.587463,1
100,100000000,1.500483,23.533228,1
100,100000000,1.524101,23.511949,1
102,102000000,1.522176,23.499013,1
102,102000000,1.532741,23.484589,1
102,102000000,1.547652,24.037924,1
102,102000000,1.526699,23.613447,1
102,102000000,1.536920,23.486333,1
102,102000000,1.542541,23.636073,1
102,102000000,1.532858,23.495273,1
102,102000000,1.538394,23.813428,1
102,102000000,1.522992,23.682102,1
102,102000000,1.527446,23.570061,1
104,104000000,1.550148,23.931928,1
104,104000000,1.541962,24.065729,1
104,104000000,1.558346,24.027916,1
104,104000000,1.564739,23.969016,1
104,104000000,1.563462,23.813134,1
104,104000000,1.554306,23.988294,1
104,104000000,1.559904,23.870504,1
104,104000000,1.556079,23.798441,1
104,104000000,1.578107,23.806573,1
104,104000000,1.568767,23.718394,1
106,106000000,1.583027,25.021890,1
106,106000000,1.586203,25.672848,1
106,106000000,1.620071,25.155053,1
106,106000000,1.581230,25.265464,1
106,106000000,1.598344,25.138025,1
106,106000000,1.601727,24.973376,1
106,106000000,1.599093,24.927921,1
106,106000000,1.598562,25.254780,1
106,106000000,1.582674,25.454961,1
106,106000000,1.608997,25.447814,1
108,108000000,1.621688,24.830866,1
108,108000000,1.642922,24.957447,1
108,108000000,1.644484,24.863738,1
108,108000000,1.629126,25.043963,1
108,108000000,1.659362,25.237413,1
108,108000000,1.663229,25.045342,1
108,108000000,1.641844,25.004982,1
108,108000000,1.626981,24.901852,1
108,108000000,1.669819,24.716712,1
108,108000000,1.661263,24.827448,1
110,110000000,1.695672,25.496938,1
110,110000000,1.653488,25.625232,1
110,110000000,1.683720,25.519689,1
110,110000000,1.692463,25.515306,1
110,110000000,1.670066,25.774410,1
110,110000000,1.652410,25.655607,1
110,110000000,1.675433,25.641990,1
110,110000000,1.655237,25.484212,1
110,110000000,1.680941,25.762173,1
110,110000000,1.663664,25.863835,1
112,112000000,1.711248,25.992527,1
112,112000000,1.683116,25.768457,1
112,112000000,1.706176,25.864939,1
112,112000000,1.704044,25.810592,1
112,112000000,1.695198,25.877580,1
112,112000000,1.692341,25.824809,1
112,112000000,1.692500,26.076095,1
112,112000000,1.705414,26.163910,1
112,112000000,1.725650,25.963531,1
112,112000000,1.710517,25.906630,1
114,114000000,1.740802,26.144511,1
114,114000000,1.759324,26.209906,1
114,114000000,1.743482,26.149950,1
114,114000000,1.752540,26.479208,1
114,114000000,1.740953,26.236198,1
114,114000000,1.749073,26.287419,1
114,114000000,1.736645,26.357921,1
114,114000000,1.729247,26.469669,1
114,114000000,1.748766,26.126030,1
114,114000000,1.730613,26.225646,1
116,116000000,1.771871,27.023824,1
116,116000000,1.765807,27.169968,1
116,116000000,1.781822,27.167088,1
116,116000000,1.774668,27.102194,1
116,116000000,1.776283,27.632274,1
116,116000000,1.768805,27.658037,1
116,116000000,1.776365,27.365630,1
116,116000000,1.774493,27.332329,1
116,116000000,1.766704,27.290186,1
116,116000000,1.758498,27.083992,1
118,118000000,1.745765,28.110674,1
118,118000000,1.775205,27.879608,1
118,118000000,1.777140,28.344845,1
118,118000000,1.797805,28.366962,1
118,118000000,1.793152,28.149031,1
118,118000000,1.784195,28.254637,1
118,118000000,1.780271,28.182302,1
118,118000000,1.775816,28.148724,1
118,118000000,1.769186,28.279503,1
118,118000000,1.792588,27.957078,1
120,120000000,1.808816,28.120682,1
120,120000000,1.809431,27.928177,1
120,120000000,1.819237,27.908338,1
120,120000000,1.820741,28.101268,1
120,120000000,1.822497,27.943449,1
120,120000000,1.821394,27.888859,1
120,120000000,1.819570,28.021676,1
120,120000000,1.816336,27.780210,1
120,120000000,1.824062,27.859716,1
120,120000000,1.814453,27.947034,1
122,122000000,1.843261,28.568712,1
122,122000000,1.853685,28.623340,1
122,122000000,1.848247,28.744456,1
122,122000000,1.854527,28.651577,1
122,122000000,1.857877,28.669792,1
122,122000000,1.814323,29.006244,1
122,122000000,1.862463,28.794587,1
122,122000000,1.863169,28.688431,1
122,122000000,1.798313,28.760161,1
122,122000000,1.858547,28.930983,1
124,124000000,1.889896,29.016655,1
124,124000000,1.884508,29.080240,1
124,124000000,1.878408,28.960179,1
124,124000000,1.889522,29.111021,1
124,124000000,1.937737,29.445704,1
124,124000000,1.885295,29.039598,1
124,124000000,1.873322,28.905620,1
124,124000000,1.879378,29.559918,1
124,124000000,1.884422,29.162072,1
124,124000000,1.879533,29.249033,1
126,126000000,1.906304,29.150501,1
126,126000000,1.914884,29.574764,1
126,126000000,1.911009,29.331800,1
126,126000000,1.918256,29.766210,1
126,126000000,1.914503,29.268327,1
126,126000000,1.922529,29.456223,1
126,126000000,1.912941,29.443011,1
126,126000000,1.926545,29.396990,1
126,126000000,1.908233,29.415689,1
126,126000000,1.905663,29.174300,1
128,128000000,1.930526,30.086424,1
128,128000000,2.648623,29.850509,1
128,128000000,2.652229,30.127566,1
128,128000000,2.654305,30.381124,1
128,128000000,2.593395,30.269913,1
128,128000000,2.649068,30.001901,1
128,128000000,2.654303,30.071617,1
128,128000000,2.635492,29.996108,1
128,128000000,2.640696,30.003909,1
128,128000000,2.589100,29.907479,1
