Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,2,10,8192,4.81,1.02,7.27,1000
Broadcast,2,10,16384,8.72,6.44,9.81,1000
Broadcast,2,10,32768,14.93,11.26,15.94,1000
Broadcast,2,10,65536,27.29,22.58,30.12,1000
Broadcast,2,10,131072,54.29,45.01,61.82,1000
Broadcast,2,10,262144,119.77,97.76,136.62,1000
Broadcast,2,10,524288,260.62,202.81,310.18,1000
Broadcast,2,10,1048576,486.67,373.91,586.29,1000
Broadcast,3,10,1,1.85,0.21,2.75,1000
Broadcast,3,10,2,1.82,0.21,2.71,1000
Broadcast,3,10,4,1.82,0.21,2.70,1000
Broadcast,3,10,8,1.89,0.21,2.81,1000
Broadcast,3,10,16,1.82,0.21,2.68,1000
Broadcast,3,10,32,1.89,0.22,2.84,1000
Broadcast,3,10,64,1.95,0.22,2.96,1000
Broadcast,3,10,128,2.30,0.27,3.44,1000
Broadcast,3,10,256,2.39,0.27,3.57,1000
Broadcast,3,10,512,2.53,0.29,3.90,1000
Broadcast,3,10,1024,2.79,0.29,4.41,1000
Broadcast,3,10,2048,3.33,0.34,5.44,1000
Broadcast,3,10,4096,4.21,0.39,7.24,1000
Broadcast,3,10,8192,6.00,0.50,10.62,1000
Broadcast,3,10,16384,19.44,2.69,32.12,1000
Broadcast,3,10,32768,29.08,3.74,48.54,1000
Broadcast,3,10,65536,48.78,5.99,81.71,1000
Broadcast,3,10,131072,92.07,12.23,153.54,1000
Broadcast,3,10,262144,185.71,27.97,306.77,1000
Broadcast,3,10,524288,382.17,62.17,628.53,1000
Broadcast,3,10,1048576,744.49,129.70,1218.97,1000
Broadcast,5,10,1,1.24,0.25,1.74,1000
Broadcast,5,10,2,1.24,0.25,1.70,1000
Broadcast,5,10,4,1.25,0.25,1.76,1000
Broadcast,5,10,8,1.23,0.25,1.68,1000
Broadcast,5,10,16,1.24,0.25,1.74,1000
Broadcast,5,10,32,1.32,0.26,1.84,1000
Broadcast,5,10,64,1.32,0.25,1.85,1000
Broadcast,5,10,128,1.76,0.38,2.30,1000
Broadcast,5,10,256,1.77,0.39,2.33,1000
Broadcast,5,10,512,1.86,0.39,2.46,1000
Broadcast,5,10,1024,2.04,0.41,2.64,1000
Broadcast,5,10,2048,2.78,0.52,3.67,1000
Broadcast,5,10,4096,4.19,0.65,5.49,1000
Broadcast,5,10,8192,6.72,0.97,9.12,1000
Broadcast,5,10,16384,15.02,5.76,18.55,1000
Broadcast,5,10,32768,25.10,9.94,30.69,1000
Broadcast,5,10,65536,44.93,18.16,54.69,1000
Broadcast,5,10,131072,84.38,33.80,103.11,1000
