Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Reduce,2,8,128,1.57,1.54,1.59,1000
Reduce,2,8,256,1.53,1.50,1.54,1000
Reduce,2,8,512,1.88,1.73,1.96,1000
Reduce,2,8,1024,2.13,2.10,2.16,1000
Reduce,2,8,2048,3.33,3.24,3.39,1000
Reduce,2,8,4096,5.59,5.53,5.67,1000
Reduce,2,8,8192,5.56,5.55,5.58,1000
Reduce,2,8,16384,8.46,8.45,8.47,1000
Reduce,2,8,32768,14.57,14.56,14.59,1000
Reduce,2,8,65536,23.83,23.76,23.89,1000
Reduce,2,8,131072,46.46,46.09,46.77,1000
Reduce,2,8,262144,95.19,91.88,98.17,1000
Reduce,2,8,524288,346.79,345.99,348.32,1000
Reduce,2,8,1048576,907.13,902.35,913.55,1000
Reduce,3,8,4,1.10,1.08,1.13,1000
Reduce,3,8,8,1.07,1.01,1.12,1000
Reduce,3,8,16,1.06,1.02,1.10,1000
Reduce,3,8,32,1.33,1.26,1.40,1000
Reduce,3,8,64,1.36,1.32,1.39,1000
Reduce,3,8,128,1.56,1.54,1.60,1000
Reduce,3,8,256,1.54,1.50,1.57,1000
Reduce,3,8,512,1.75,1.67,1.84,1000
Reduce,3,8,1024,2.13,2.10,2.20,1000
Reduce,3,8,2048,3.33,3.27,3.37,1000
Reduce,3,8,4096,5.53,5.49,5.58,1000
Reduce,3,8,8192,5.16,5.13,5.19,1000
Reduce,3,8,16384,8.45,8.42,8.49,1000
Reduce,3,8,32768,14.58,14.56,14.62,1000
Reduce,3,8,65536,24.87,24.62,25.04,1000
Reduce,3,8,131072,46.62,46.44,46.85,1000
Reduce,3,8,262144,99.18,98.79,99.66,1000
Reduce,3,8,524288,323.13,306.39,329.34,1000
Reduce,3,8,1048576,827.91,810.33,841.53,1000
Reduce,4,8,4,1.10,1.07,1.13,1000
Reduce,4,8,8,1.09,1.05,1.16,1000
Reduce,4,8,16,1.09,1.07,1.13,1000
Reduce,4,8,32,1.34,1.28,1.42,1000
Reduce,4,8,64,1.38,1.34,1.44,1000
Reduce,4,8,128,1.57,1.54,1.60,1000
Reduce,4,8,256,1.55,1.53,1.59,1000
Reduce,4,8,512,1.73,1.68,1.75,1000
Reduce,4,8,1024,2.11,2.07,2.14,1000
Reduce,4,8,2048,3.35,3.32,3.41,1000
Reduce,4,8,4096,5.58,5.51,5.64,1000
Reduce,4,8,8192,5.33,5.20,5.45,1000
Reduce,4,8,16384,8.45,8.43,8.47,1000
Reduce,4,8,32768,14.59,14.57,14.61,1000
Reduce,4,8,65536,23.28,23.19,23.36,1000
Reduce,4,8,131072,46.71,46.38,47.06,1000
Reduce,4,8,262144,99.28,98.61,99.79,1000
Reduce,4,8,524288,354.20,350.29,357.61,1000
Reduce,4,8,1048576,949.39,936.16,960.05,1000
Reduce,1,10,4,3.45,2.45,4.19,1000
Reduce,1,10,8,3.39,2.34,4.21,1000
Reduce,1,10,16,3.29,2.37,3.96,1000
Reduce,1,10,32,3.41,2.44,3.95,1000
Reduce,1,10,64,3.00,2.20,3.56,1000
Reduce,1,10,128,3.81,3.17,4.28,1000
Reduce,1,10,256,3.71,2.98,4.18,1000
Reduce,1,10,512,3.36,2.58,3.93,1000
Reduce,1,10,1024,3.94,3.26,4.53,1000
Reduce,1,10,2048,5.88,5.21,6.36,1000
Reduce,1,10,4096,8.54,7.67,9.21,1000
Reduce,1,10,8192,9.21,8.51,10.00,1000
Reduce,1,10,16384,14.58,13.46,15.64,1000
Reduce,1,10,32768,25.11,23.44,26.82,1000
Reduce,1,10,65536,44.33,41.14,46.42,1000
Reduce,1,10,131072,94.41,89.40,97.33,1000
Reduce,1,10,262144,206.58,194.47,214.40,1000
Reduce,1,10,524288,633.78,579.53,675.99,1000
Reduce,1,10,1048576,1405.33,1276.22,1498.23,1000
Reduce,2,10,4,3.42,2.41,4.17,1000
Reduce,2,10,8,3.44,2.52,3.98,1000
Reduce,2,10,16,3.40,2.46,3.96,1000
Reduce,2,10,32,3.48,2.51,4.01,1000
Reduce,2,10,64,3.11,2.36,3.67,1000
Reduce,2,10,128,3.94,3.14,4.52,1000
Reduce,2,10,256,3.56,2.65,4.02,1000
Reduce,2,10,512,3.38,2.64,3.90,1000
Reduce,2,10,1024,3.96,3.27,4.53,1000
Reduce,2,10,2048,5.86,5.19,6.36,1000
Reduce,2,10,4096,8.57,7.72,9.19,1000
Reduce,2,10,8192,12.58,10.66,18.68,1000
Reduce,2,10,16384,14.85,13.77,15.96,1000
Reduce,2,10,32768,23.90,22.34,25.76,1000
Reduce,2,10,65536,43.09,40.19,45.43,1000
Reduce,2,10,131072,93.38,87.65,96.65,1000
Reduce,2,10,262144,204.39,192.59,212.47,1000
Reduce,2,10,524288,634.76,579.51,676.90,1000
Reduce,2,10,1048576,1418.39,1290.05,1512.32,1000
Reduce,3,10,4,3.37,2.34,4.19,1000
Reduce,3,10,8,3.14,2.34,3.89,1000
Reduce,3,10,16,3.01,2.16,3.76,1000
Reduce,3,10,32,3.19,2.35,3.90,1000
Reduce,3,10,64,3.01,2.20,3.55,1000
Reduce,3,10,128,3.65,2.85,4.32,1000
Reduce,3,10,256,3.16,2.38,3.79,1000
Reduce,3,10,512,3.37,2.67,3.95,1000
Reduce,3,10,1024,3.99,3.28,4.65,1000
Reduce,3,10,2048,5.87,5.22,6.37,1000
Reduce,3,10,4096,8.51,7.71,9.07,1000
Reduce,3,10,8192,9.18,8.47,9.98,1000
Reduce,3,10,16384,14.51,13.36,15.59,1000
Reduce,3,10,32768,27.86,25.84,29.98,1000
Reduce,3,10,65536,44.14,41.02,46.28,1000
Reduce,3,10,131072,92.30,87.11,95.64,1000
Reduce,3,10,262144,205.32,192.84,213.65,1000
Reduce,3,10,524288,630.82,575.64,672.64,1000
Reduce,3,10,1048576,1405.58,1278.76,1497.59,1000
Reduce,4,10,4,3.70,2.55,4.54,1000
Reduce,4,10,8,3.58,2.40,4.43,1000
Reduce,4,10,16,3.40,2.37,4.17,1000
Reduce,4,10,32,3.57,2.58,4.23,1000
Reduce,4,10,64,3.14,2.38,3.66,1000
Reduce,4,10,128,3.83,3.08,4.45,1000
Reduce,4,10,256,3.70,3.03,4.28,1000
Reduce,4,10,512,3.52,2.68,4.09,1000
Reduce,4,10,1024,3.96,3.26,4.53,1000
Reduce,4,10,2048,5.89,5.17,6.38,1000
Reduce,4,10,4096,8.32,7.43,8.99,1000
Reduce,4,10,8192,9.60,8.95,10.36,1000
Reduce,4,10,16384,15.17,14.08,16.20,1000
Reduce,4,10,32768,28.18,26.18,30.28,1000
