Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,3,5,1048576,386.20,140.63,537.84,1000
Broadcast,5,5,1,0.43,0.18,0.55,1000
Broadcast,5,5,2,0.42,0.19,0.49,1000
Broadcast,5,5,4,0.42,0.18,0.50,1000
Broadcast,5,5,8,0.41,0.18,0.54,1000
Broadcast,5,5,16,0.40,0.18,0.47,1000
Broadcast,5,5,32,0.49,0.20,0.59,1000
Broadcast,5,5,64,0.48,0.19,0.61,1000
Broadcast,5,5,128,0.65,0.29,0.84,1000
Broadcast,5,5,256,0.69,0.31,0.89,1000
Broadcast,5,5,512,0.79,0.33,1.04,1000
Broadcast,5,5,1024,1.00,0.42,1.34,1000
Broadcast,5,5,2048,1.34,0.56,1.89,1000
Broadcast,5,5,4096,2.08,0.94,2.96,1000
Broadcast,5,5,8192,3.28,1.59,4.75,1000
Broadcast,5,5,16384,8.73,5.45,9.69,1000
Broadcast,5,5,32768,13.13,8.53,14.37,1000
Broadcast,5,5,65536,22.08,14.98,23.96,1000
Broadcast,5,5,131072,39.01,27.02,42.10,1000
Broadcast,5,5,262144,73.59,51.56,80.22,1000
Broadcast,5,5,524288,144.10,100.48,156.49,1000
Broadcast,5,5,1048576,293.25,205.00,317.24,1000
Broadcast,1,6,1,0.33,0.32,0.35,1000
Broadcast,1,6,2,0.36,0.35,0.40,1000
Broadcast,1,6,4,0.34,0.33,0.37,1000
Broadcast,1,6,8,0.31,0.30,0.33,1000
Broadcast,1,6,16,0.35,0.34,0.38,1000
Broadcast,1,6,32,0.42,0.39,0.45,1000
Broadcast,1,6,64,0.43,0.41,0.46,1000
Broadcast,1,6,128,0.66,0.48,0.81,1000
Broadcast,1,6,256,0.71,0.50,0.89,1000
Broadcast,1,6,512,0.78,0.54,0.98,1000
Broadcast,1,6,1024,1.07,0.68,1.39,1000
Broadcast,1,6,2048,1.51,0.90,2.08,1000
Broadcast,1,6,4096,2.39,1.33,3.36,1000
Broadcast,1,6,8192,3.63,1.97,5.19,1000
Broadcast,1,6,16384,7.39,5.91,8.67,1000
Broadcast,1,6,32768,12.54,10.56,13.99,1000
Broadcast,1,6,65536,23.45,21.48,25.08,1000
Broadcast,1,6,131072,45.24,43.27,47.22,1000
Broadcast,1,6,262144,88.27,86.03,90.51,1000
Broadcast,1,6,524288,176.63,173.21,179.39,1000
Broadcast,1,6,1048576,326.19,297.83,341.45,1000
Broadcast,2,6,1,0.36,0.26,0.55,1000
Broadcast,2,6,2,0.37,0.28,0.57,1000
Broadcast,2,6,4,0.36,0.26,0.55,1000
Broadcast,2,6,8,0.36,0.27,0.54,1000
Broadcast,2,6,16,0.36,0.26,0.55,1000
Broadcast,2,6,32,0.44,0.32,0.68,1000
Broadcast,2,6,64,0.44,0.33,0.69,1000
Broadcast,2,6,128,0.67,0.51,0.90,1000
Broadcast,2,6,256,0.70,0.54,0.95,1000
Broadcast,2,6,512,0.79,0.63,1.05,1000
Broadcast,2,6,1024,1.05,0.84,1.35,1000
Broadcast,2,6,2048,1.43,1.14,1.77,1000
Broadcast,2,6,4096,2.23,1.79,2.80,1000
Broadcast,2,6,8192,3.42,2.65,4.32,1000
Broadcast,2,6,16384,7.85,6.17,9.98,1000
Broadcast,2,6,32768,13.17,10.88,16.49,1000
Broadcast,2,6,65536,23.93,19.81,30.15,1000
Broadcast,2,6,131072,46.86,37.74,60.54,1000
Broadcast,2,6,262144,91.02,74.40,116.85,1000
Broadcast,2,6,524288,180.71,148.98,230.70,1000
Broadcast,2,6,1048576,353.47,295.11,447.38,1000
Broadcast,3,6,1,0.84,0.14,1.21,1000
Broadcast,3,6,2,0.89,0.13,1.32,1000
Broadcast,3,6,4,0.81,0.11,1.20,1000
Broadcast,3,6,8,0.83,0.12,1.24,1000
Broadcast,3,6,16,0.84,0.12,1.22,1000
Broadcast,3,6,32,0.97,0.12,1.52,1000
Broadcast,3,6,64,0.98,0.12,1.53,1000
