ntasks,global_data_size,parallel_time,serial_time
66,10000000,0.163666,2.085382
66,10000000,0.164482,2.034523
68,10000000,0.166125,2.035210
68,10000000,0.163914,2.126207
68,10000000,0.161152,2.037784
68,10000000,0.160970,2.029103
68,10000000,0.160712,2.038442
68,10000000,0.161093,2.087623
68,10000000,0.161297,2.036993
68,10000000,0.161151,2.030953
68,10000000,0.163020,2.034878
68,10000000,0.161430,2.036294
70,10000000,0.161043,2.037416
70,10000000,0.160951,2.048700
70,10000000,0.163842,2.031677
70,10000000,0.161168,2.034535
70,10000000,0.161044,2.034868
70,10000000,0.160958,2.036950
70,10000000,0.161984,2.107955
70,10000000,0.160515,2.036945
70,10000000,0.160561,2.036990
70,10000000,0.160546,2.043031
72,10000000,0.159500,2.238334
72,10000000,0.158855,2.032026
72,10000000,0.161587,2.124811
72,10000000,0.160794,2.035384
72,10000000,0.159505,2.035569
72,10000000,0.159001,2.037722
72,10000000,0.161222,2.037113
72,10000000,0.162189,2.170347
72,10000000,0.159268,2.036615
72,10000000,0.159648,2.032975
74,10000000,0.161304,2.032473
74,10000000,0.160938,2.035863
74,10000000,0.159348,2.034583
74,10000000,0.159880,2.043616
74,10000000,0.161304,2.071482
74,10000000,0.161440,2.032237
74,10000000,0.159804,2.034232
74,10000000,0.159285,2.031997
74,10000000,0.161525,2.038067
74,10000000,0.158842,2.034419
76,10000000,0.160933,2.067845
76,10000000,0.159701,2.044629
76,10000000,0.158864,2.034404
76,10000000,0.159119,2.039746
76,10000000,0.158803,2.064818
76,10000000,0.162002,2.030862
76,10000000,0.159074,2.042823
76,10000000,0.160067,2.030961
76,10000000,0.159655,2.056093
76,10000000,0.160009,2.077938
78,10000000,0.159278,2.039695
78,10000000,0.160408,2.035200
78,10000000,0.159128,2.065078
78,10000000,0.158681,2.037385
78,10000000,0.160426,2.036925
78,10000000,0.158283,2.035694
78,10000000,0.157905,2.035338
78,10000000,0.160352,2.155847
78,10000000,0.160213,2.039430
78,10000000,0.157316,2.034058
80,10000000,0.157474,2.036383
80,10000000,0.159344,2.036960
80,10000000,0.157450,2.098037
80,10000000,0.159592,2.037072
80,10000000,0.157988,2.043301
80,10000000,0.159647,2.034404
80,10000000,0.158176,2.035332
80,10000000,0.157156,2.031674
80,10000000,0.158759,2.091741
80,10000000,0.159068,2.038481
82,10000000,0.158249,2.034883
82,10000000,0.159201,2.035252
82,10000000,0.160893,2.040302
82,10000000,0.160502,2.037221
82,10000000,0.157230,2.053596
82,10000000,0.160248,2.086099
82,10000000,0.158634,2.046365
82,10000000,0.159431,2.054262
82,10000000,0.159590,2.035639
82,10000000,0.159136,2.130262
84,10000000,0.159071,2.048931
84,10000000,0.157510,2.033170
84,10000000,0.156551,2.112193
84,10000000,0.157126,2.032779
84,10000000,0.156028,2.073507
84,10000000,0.158955,2.033682
84,10000000,0.157503,2.053114
84,10000000,0.157804,2.034841
84,10000000,0.156797,2.038163
84,10000000,0.157439,2.036271
86,10000000,0.158569,2.035288
86,10000000,0.158385,2.036847
86,10000000,0.157368,2.116641
86,10000000,0.157326,2.038497
86,10000000,0.157375,2.168069
86,10000000,0.156190,2.051319
86,10000000,0.156976,2.030160
86,10000000,0.157624,2.037089
86,10000000,0.158521,2.036281
86,10000000,0.156880,2.036213
88,10000000,0.156534,2.037416
88,10000000,0.154905,2.036465
88,10000000,0.155731,2.033981
88,10000000,0.155875,2.033178
88,10000000,0.154060,2.037048
88,10000000,0.156414,2.036338
88,10000000,0.155861,2.038970
88,10000000,0.155642,2.036962
88,10000000,0.155394,2.036361
88,10000000,0.156291,2.046106
90,10000000,0.155814,2.078314
90,10000000,0.156124,2.029953
90,10000000,0.155882,2.048356
90,10000000,0.155760,2.040696
