Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,3,4,4,0.73,0.25,1.02,1000
Broadcast,3,4,8,0.74,0.22,1.04,1000
Broadcast,3,4,16,0.72,0.24,1.01,1000
Broadcast,3,4,32,0.96,0.22,1.48,1000
Broadcast,3,4,64,0.91,0.24,1.38,1000
Broadcast,3,4,128,1.20,0.27,1.90,1000
Broadcast,3,4,256,1.30,0.31,2.03,1000
Broadcast,3,4,512,1.41,0.28,2.26,1000
Broadcast,3,4,1024,1.71,0.30,2.73,1000
Broadcast,3,4,2048,2.22,0.32,3.68,1000
Broadcast,3,4,4096,3.21,0.46,5.27,1000
Broadcast,3,4,8192,5.03,0.74,8.20,1000
Broadcast,3,4,16384,13.67,6.64,17.39,1000
Broadcast,3,4,32768,22.75,11.06,28.90,1000
Broadcast,3,4,65536,36.14,17.99,45.51,1000
Broadcast,3,4,131072,64.76,33.89,80.37,1000
Broadcast,3,4,262144,119.67,63.28,147.86,1000
Broadcast,3,4,524288,221.27,112.74,274.95,1000
Broadcast,3,4,1048576,436.73,222.49,542.42,1000
Broadcast,5,4,1,0.43,0.26,0.55,1000
Broadcast,5,4,2,0.43,0.26,0.56,1000
Broadcast,5,4,4,0.42,0.26,0.55,1000
Broadcast,5,4,8,0.43,0.26,0.55,1000
Broadcast,5,4,16,0.43,0.26,0.56,1000
Broadcast,5,4,32,0.67,0.27,1.08,1000
Broadcast,5,4,64,0.61,0.28,0.92,1000
Broadcast,5,4,128,0.97,0.47,1.44,1000
Broadcast,5,4,256,0.97,0.50,1.44,1000
Broadcast,5,4,512,1.11,0.60,1.66,1000
Broadcast,5,4,1024,1.38,0.73,1.98,1000
Broadcast,5,4,2048,1.88,1.02,2.73,1000
Broadcast,5,4,4096,2.81,1.61,3.96,1000
Broadcast,5,4,8192,4.54,2.81,6.28,1000
Broadcast,5,4,16384,10.08,4.82,14.11,1000
Broadcast,5,4,32768,16.37,7.68,22.90,1000
Broadcast,5,4,65536,26.33,10.07,37.43,1000
Broadcast,5,4,131072,49.92,18.82,69.50,1000
Broadcast,5,4,262144,97.60,35.99,135.05,1000
Broadcast,5,4,524288,186.70,71.53,257.47,1000
Broadcast,5,4,1048576,373.14,154.55,510.03,1000
Broadcast,1,5,1,0.47,0.44,0.50,1000
Broadcast,1,5,2,0.53,0.49,0.58,1000
Broadcast,1,5,4,0.49,0.46,0.53,1000
Broadcast,1,5,8,0.48,0.45,0.51,1000
Broadcast,1,5,16,0.45,0.44,0.47,1000
Broadcast,1,5,32,0.82,0.56,1.03,1000
Broadcast,1,5,64,0.73,0.50,0.91,1000
Broadcast,1,5,128,1.36,0.66,1.81,1000
Broadcast,1,5,256,1.38,0.66,1.78,1000
Broadcast,1,5,512,1.53,0.70,2.02,1000
Broadcast,1,5,1024,1.90,0.86,2.53,1000
Broadcast,1,5,2048,2.65,1.06,3.53,1000
Broadcast,1,5,4096,3.99,1.50,5.39,1000
Broadcast,1,5,8192,6.32,2.20,8.49,1000
Broadcast,1,5,16384,8.26,5.20,9.98,1000
Broadcast,1,5,32768,15.02,9.87,17.34,1000
Broadcast,1,5,65536,28.55,22.28,31.24,1000
Broadcast,1,5,131072,55.89,50.99,58.59,1000
Broadcast,1,5,262144,110.21,105.03,113.58,1000
Broadcast,1,5,524288,207.20,191.76,215.32,1000
Broadcast,1,5,1048576,373.37,337.07,404.17,1000
Broadcast,2,5,1,0.49,0.46,0.52,1000
Broadcast,2,5,2,0.50,0.48,0.52,1000
Broadcast,2,5,4,0.57,0.48,0.63,1000
Broadcast,2,5,8,0.50,0.48,0.51,1000
Broadcast,2,5,16,0.50,0.46,0.53,1000
Broadcast,2,5,32,0.80,0.55,0.98,1000
Broadcast,2,5,64,0.75,0.54,0.92,1000
Broadcast,2,5,128,1.33,0.68,1.67,1000
Broadcast,2,5,256,1.39,0.70,1.75,1000
Broadcast,2,5,512,1.59,0.74,2.08,1000
Broadcast,2,5,1024,1.92,0.88,2.52,1000
Broadcast,2,5,2048,2.70,1.11,3.60,1000
Broadcast,2,5,4096,4.00,1.50,5.40,1000
Broadcast,2,5,8192,6.18,2.24,8.30,1000
Broadcast,2,5,16384,8.22,5.31,9.87,1000
