Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,2,4,16,0.18,0.17,0.18,1000
Broadcast,2,4,32,0.22,0.20,0.24,1000
Broadcast,2,4,64,0.21,0.20,0.23,1000
Broadcast,2,4,128,0.39,0.31,0.46,1000
Broadcast,2,4,256,0.42,0.32,0.52,1000
Broadcast,2,4,512,0.48,0.38,0.60,1000
Broadcast,2,4,1024,0.65,0.50,0.83,1000
Broadcast,2,4,2048,0.93,0.70,1.26,1000
Broadcast,2,4,4096,1.48,1.07,2.01,1000
Broadcast,2,4,8192,2.33,1.63,3.21,1000
Broadcast,2,4,16384,5.24,4.23,5.77,1000
Broadcast,2,4,32768,8.18,6.79,8.87,1000
Broadcast,2,4,65536,13.87,11.58,14.87,1000
Broadcast,2,4,131072,25.60,21.73,27.14,1000
Broadcast,2,4,262144,49.98,43.85,52.28,1000
Broadcast,2,4,524288,101.89,95.29,104.47,1000
Broadcast,2,4,1048576,212.19,206.22,214.81,1000
Broadcast,3,4,1,0.41,0.09,0.62,1000
Broadcast,3,4,2,0.40,0.10,0.59,1000
Broadcast,3,4,4,0.40,0.09,0.60,1000
Broadcast,3,4,8,0.40,0.09,0.60,1000
Broadcast,3,4,16,0.41,0.09,0.61,1000
Broadcast,3,4,32,0.50,0.09,0.80,1000
Broadcast,3,4,64,0.48,0.09,0.77,1000
Broadcast,3,4,128,0.63,0.13,1.06,1000
Broadcast,3,4,256,0.66,0.13,1.09,1000
Broadcast,3,4,512,0.74,0.13,1.26,1000
Broadcast,3,4,1024,0.94,0.19,1.57,1000
Broadcast,3,4,2048,1.28,0.20,2.18,1000
Broadcast,3,4,4096,1.88,0.32,3.21,1000
Broadcast,3,4,8192,3.07,0.59,5.19,1000
Broadcast,3,4,16384,8.86,3.62,11.95,1000
Broadcast,3,4,32768,15.14,6.34,20.27,1000
Broadcast,3,4,65536,22.44,9.35,30.00,1000
Broadcast,3,4,131072,37.22,15.75,49.56,1000
Broadcast,3,4,262144,66.85,28.13,88.85,1000
Broadcast,3,4,524288,125.09,52.11,166.25,1000
Broadcast,3,4,1048576,252.86,109.64,334.79,1000
Broadcast,5,4,1,0.29,0.16,0.37,1000
Broadcast,5,4,2,0.31,0.17,0.40,1000
Broadcast,5,4,4,0.29,0.16,0.36,1000
Broadcast,5,4,8,0.28,0.16,0.36,1000
Broadcast,5,4,16,0.28,0.16,0.36,1000
Broadcast,5,4,32,0.35,0.18,0.46,1000
Broadcast,5,4,64,0.33,0.17,0.45,1000
Broadcast,5,4,128,0.47,0.25,0.66,1000
Broadcast,5,4,256,0.48,0.26,0.66,1000
Broadcast,5,4,512,0.55,0.28,0.78,1000
Broadcast,5,4,1024,0.72,0.36,1.01,1000
Broadcast,5,4,2048,0.99,0.49,1.42,1000
Broadcast,5,4,4096,1.54,0.81,2.18,1000
Broadcast,5,4,8192,2.44,1.34,3.46,1000
Broadcast,5,4,16384,6.03,3.84,8.10,1000
Broadcast,5,4,32768,10.18,6.47,13.59,1000
Broadcast,5,4,65536,15.34,9.31,20.42,1000
Broadcast,5,4,131072,25.85,15.40,34.21,1000
Broadcast,5,4,262144,47.21,28.02,62.13,1000
Broadcast,5,4,524288,90.87,54.34,119.83,1000
Broadcast,5,4,1048576,182.08,112.23,238.06,1000
Broadcast,1,5,1,0.24,0.21,0.25,1000
Broadcast,1,5,2,0.26,0.22,0.27,1000
Broadcast,1,5,4,0.23,0.22,0.24,1000
Broadcast,1,5,8,0.24,0.21,0.26,1000
Broadcast,1,5,16,0.23,0.21,0.23,1000
Broadcast,1,5,32,0.32,0.27,0.36,1000
Broadcast,1,5,64,0.32,0.29,0.36,1000
Broadcast,1,5,128,0.50,0.33,0.71,1000
Broadcast,1,5,256,0.52,0.37,0.65,1000
Broadcast,1,5,512,0.58,0.42,0.73,1000
Broadcast,1,5,1024,0.79,0.53,1.05,1000
Broadcast,1,5,2048,1.15,0.72,1.58,1000
Broadcast,1,5,4096,1.84,1.09,2.59,1000
Broadcast,1,5,8192,2.83,1.56,4.05,1000
Broadcast,1,5,16384,5.77,4.03,6.68,1000
Broadcast,1,5,32768,9.98,7.95,10.98,1000
Broadcast,1,5,65536,18.31,15.98,19.38,1000
Broadcast,1,5,131072,35.27,32.69,36.55,1000
Broadcast,1,5,262144,69.19,65.93,70.85,1000
Broadcast,1,5,524288,138.00,134.54,139.85,1000
Broadcast,1,5,1048576,276.06,266.95,281.00,1000
Broadcast,2,5,1,0.26,0.23,0.27,1000
Broadcast,2,5,2,0.27,0.24,0.29,1000
Broadcast,2,5,4,0.27,0.26,0.28,1000
Broadcast,2,5,8,0.27,0.25,0.32,1000
Broadcast,2,5,16,0.25,0.22,0.27,1000
Broadcast,2,5,32,0.32,0.28,0.37,1000
Broadcast,2,5,64,0.32,0.28,0.36,1000
Broadcast,2,5,128,0.47,0.34,0.59,1000
Broadcast,2,5,256,0.52,0.38,0.66,1000
Broadcast,2,5,512,0.60,0.42,0.76,1000
Broadcast,2,5,1024,0.82,0.56,1.07,1000
Broadcast,2,5,2048,1.16,0.75,1.58,1000
Broadcast,2,5,4096,1.84,1.11,2.57,1000
Broadcast,2,5,8192,2.83,1.61,4.04,1000
Broadcast,2,5,16384,5.70,4.01,6.58,1000
Broadcast,2,5,32768,10.04,7.93,11.07,1000
Broadcast,2,5,65536,18.50,16.00,19.69,1000
Broadcast,2,5,131072,35.37,32.79,36.70,1000
Broadcast,2,5,262144,69.07,66.22,70.69,1000
Broadcast,2,5,524288,137.98,135.22,139.68,1000
Broadcast,2,5,1048576,256.20,236.91,267.95,1000
Broadcast,3,5,1,0.57,0.09,0.85,1000
Broadcast,3,5,2,0.60,0.11,0.88,1000
Broadcast,3,5,4,0.57,0.10,0.85,1000
Broadcast,3,5,8,0.57,0.09,0.84,1000
Broadcast,3,5,16,0.58,0.10,0.85,1000
Broadcast,3,5,32,0.78,0.11,1.14,1000
Broadcast,3,5,64,0.73,0.11,1.17,1000
Broadcast,3,5,128,0.89,0.15,1.45,1000
Broadcast,3,5,256,0.93,0.14,1.57,1000
Broadcast,3,5,512,1.06,0.15,1.82,1000
Broadcast,3,5,1024,1.25,0.16,2.13,1000
Broadcast,3,5,2048,1.70,0.21,2.93,1000
Broadcast,3,5,4096,2.49,0.33,4.32,1000
Broadcast,3,5,8192,4.14,0.60,7.10,1000
Broadcast,3,5,16384,11.27,3.46,16.26,1000
Broadcast,3,5,32768,16.99,5.63,24.11,1000
Broadcast,3,5,65536,27.88,9.16,39.66,1000
Broadcast,3,5,131072,49.47,16.71,70.15,1000
Broadcast,3,5,262144,92.91,31.28,132.23,1000
Broadcast,3,5,524288,181.96,61.37,258.87,1000
Broadcast,3,5,1048576,360.74,123.92,509.70,1000
Broadcast,5,5,1,0.36,0.15,0.44,1000
Broadcast,5,5,2,0.37,0.16,0.46,1000
Broadcast,5,5,4,0.37,0.15,0.46,1000
Broadcast,5,5,8,0.38,0.15,0.49,1000
Broadcast,5,5,16,0.37,0.15,0.45,1000
Broadcast,5,5,32,0.46,0.18,0.59,1000
Broadcast,5,5,64,0.44,0.16,0.54,1000
Broadcast,5,5,128,0.58,0.24,0.74,1000
Broadcast,5,5,256,0.62,0.25,0.79,1000
Broadcast,5,5,512,0.67,0.26,0.88,1000
Broadcast,5,5,1024,0.89,0.34,1.21,1000
Broadcast,5,5,2048,1.23,0.50,1.74,1000
Broadcast,5,5,4096,1.89,0.79,2.68,1000
Broadcast,5,5,8192,2.96,1.33,4.24,1000
Broadcast,5,5,16384,7.98,4.99,8.91,1000
Broadcast,5,5,32768,11.99,7.83,13.17,1000
Broadcast,5,5,65536,20.21,13.69,21.95,1000
Broadcast,5,5,131072,36.77,25.58,40.02,1000
Broadcast,5,5,262144,70.20,50.00,76.18,1000
Broadcast,5,5,524288,135.54,95.42,147.24,1000
Broadcast,5,5,1048576,272.27,190.88,296.33,1000
Broadcast,1,6,1,0.27,0.26,0.29,1000
Broadcast,1,6,2,0.32,0.30,0.37,1000
Broadcast,1,6,4,0.29,0.27,0.30,1000
Broadcast,1,6,8,0.29,0.28,0.30,1000
Broadcast,1,6,16,0.29,0.27,0.30,1000
Broadcast,1,6,32,0.37,0.34,0.39,1000
Broadcast,1,6,64,0.37,0.34,0.40,1000
Broadcast,1,6,128,0.62,0.45,0.76,1000
Broadcast,1,6,256,0.63,0.43,0.80,1000
Broadcast,1,6,512,0.69,0.46,0.87,1000
Broadcast,1,6,1024,0.96,0.58,1.29,1000
Broadcast,1,6,2048,1.38,0.79,1.92,1000
Broadcast,1,6,4096,2.15,1.13,3.05,1000
Broadcast,1,6,8192,3.30,1.68,4.81,1000
Broadcast,1,6,16384,6.57,4.60,7.84,1000
Broadcast,1,6,32768,11.07,7.36,12.51,1000
Broadcast,1,6,65536,21.10,16.83,22.78,1000
Broadcast,1,6,131072,41.37,37.26,43.43,1000
Broadcast,1,6,262144,81.43,77.05,83.88,1000
Broadcast,1,6,524288,163.62,158.79,166.39,1000
Broadcast,1,6,1048576,324.00,310.77,331.18,1000
Broadcast,2,6,1,0.33,0.24,0.51,1000
Broadcast,2,6,2,0.37,0.26,0.53,1000
Broadcast,2,6,4,0.34,0.24,0.59,1000
Broadcast,2,6,8,0.34,0.25,0.51,1000
Broadcast,2,6,16,0.35,0.26,0.52,1000
Broadcast,2,6,32,0.42,0.31,0.64,1000
Broadcast,2,6,64,0.43,0.33,0.67,1000
Broadcast,2,6,128,0.64,0.49,0.81,1000
Broadcast,2,6,256,0.64,0.49,0.92,1000
Broadcast,2,6,512,0.68,0.54,0.94,1000
Broadcast,2,6,1024,0.95,0.76,1.19,1000
Broadcast,2,6,2048,1.30,1.03,1.60,1000
Broadcast,2,6,4096,1.99,1.58,2.55,1000
Broadcast,2,6,8192,3.12,2.43,4.03,1000
Broadcast,2,6,16384,7.26,5.21,9.43,1000
Broadcast,2,6,32768,12.03,9.56,15.05,1000
Broadcast,2,6,65536,22.07,17.84,28.01,1000
Broadcast,2,6,131072,42.72,34.54,54.78,1000
Broadcast,2,6,262144,83.02,68.18,105.46,1000
Broadcast,2,6,524288,164.30,136.48,207.82,1000
Broadcast,2,6,1048576,327.79,275.17,410.59,1000
Broadcast,3,6,1,0.73,0.11,1.10,1000
Broadcast,3,6,2,0.76,0.11,1.20,1000
Broadcast,3,6,4,0.76,0.10,1.14,1000
Broadcast,3,6,8,0.71,0.11,1.06,1000
Broadcast,3,6,16,0.71,0.10,1.08,1000
Broadcast,3,6,32,0.91,0.13,1.46,1000
Broadcast,3,6,64,0.88,0.11,1.44,1000
Broadcast,3,6,128,1.13,0.14,1.89,1000
Broadcast,3,6,256,1.20,0.14,2.02,1000
Broadcast,3,6,512,1.30,0.15,2.22,1000
Broadcast,3,6,1024,1.58,0.17,2.71,1000
Broadcast,3,6,2048,2.12,0.22,3.68,1000
Broadcast,3,6,4096,3.07,0.34,5.41,1000
Broadcast,3,6,8192,4.98,0.60,8.78,1000
Broadcast,3,6,16384,13.59,3.49,20.51,1000
Broadcast,3,6,32768,20.73,5.56,30.79,1000
Broadcast,3,6,65536,33.71,9.11,50.19,1000
Broadcast,3,6,131072,60.29,16.63,89.69,1000
Broadcast,3,6,262144,111.91,30.83,166.80,1000
Broadcast,3,6,524288,218.84,59.74,326.60,1000
Broadcast,3,6,1048576,445.14,125.25,661.36,1000
Broadcast,5,6,1,0.43,0.15,0.56,1000
Broadcast,5,6,2,0.46,0.17,0.59,1000
Broadcast,5,6,4,0.47,0.16,0.59,1000
Broadcast,5,6,8,0.48,0.17,0.57,1000
Broadcast,5,6,16,0.44,0.16,0.57,1000
Broadcast,5,6,32,0.52,0.17,0.65,1000
Broadcast,5,6,64,0.53,0.17,0.65,1000
Broadcast,5,6,128,0.75,0.27,0.92,1000
Broadcast,5,6,256,0.75,0.27,0.91,1000
Broadcast,5,6,512,0.80,0.26,0.97,1000
Broadcast,5,6,1024,1.05,0.37,1.30,1000
Broadcast,5,6,2048,1.48,0.53,1.88,1000
Broadcast,5,6,4096,2.19,0.80,2.83,1000
Broadcast,5,6,8192,3.41,1.36,4.50,1000
Broadcast,5,6,16384,9.07,5.30,10.43,1000
Broadcast,5,6,32768,14.11,8.48,16.36,1000
Broadcast,5,6,65536,23.98,14.62,27.99,1000
Broadcast,5,6,131072,43.55,26.84,51.25,1000
Broadcast,5,6,262144,82.07,50.79,97.24,1000
Broadcast,5,6,524288,159.59,98.18,189.68,1000
Broadcast,5,6,1048576,311.63,196.40,363.76,1000
Broadcast,1,7,1,0.32,0.31,0.34,1000
Broadcast,1,7,2,0.34,0.32,0.36,1000
Broadcast,1,7,4,0.32,0.31,0.33,1000
Broadcast,1,7,8,0.32,0.31,0.33,1000
Broadcast,1,7,16,0.35,0.33,0.43,1000
Broadcast,1,7,32,0.40,0.39,0.41,1000
Broadcast,1,7,64,0.45,0.43,0.47,1000
Broadcast,1,7,128,0.76,0.50,0.98,1000
Broadcast,1,7,256,0.77,0.50,1.00,1000
Broadcast,1,7,512,0.82,0.55,1.04,1000
Broadcast,1,7,1024,1.17,0.68,1.57,1000
Broadcast,1,7,2048,1.68,0.91,2.36,1000
Broadcast,1,7,4096,2.61,1.28,3.77,1000
Broadcast,1,7,8192,3.94,1.83,5.84,1000
Broadcast,1,7,16384,6.85,3.75,8.46,1000
Broadcast,1,7,32768,12.23,6.97,14.13,1000
